quantity,bootstrap_mean,ci_low,ci_high,ci_low_first_half,ci_high_first_half
primary_mean_difference|geometric_retrieval|recurrent,-0.02692936612847448,-0.05906450425562569,0.002297954568483207,-0.05852725984115929,0.002174610263616482
interaction75_25|geometric_retrieval|recurrent,0.006631174270946387,-0.03518975665306562,0.04791192062124794,-0.03430639755539795,0.04762201814085221
difference|geometric_retrieval|most_frequent_personal_destination|0.25,0.008802742818075453,-0.05410958284593275,0.0721602853612659,-0.054332804528178055,0.06980522445622411
difference|geometric_retrieval|most_frequent_personal_destination|0.50,0.025289098009915297,-0.04759361903844054,0.09401680642687495,-0.04579652797913486,0.0925559520526182
difference|geometric_retrieval|most_frequent_personal_destination|0.66,0.03435600467916385,-0.03713837708050188,0.1016469199813181,-0.03649191478603249,0.09996512614910927
difference|geometric_retrieval|most_frequent_personal_destination|0.75,0.05275726720435298,-0.02077863990917506,0.1228481061829559,-0.018325684970390478,0.12048913290285727
primary_mean_difference|geometric_retrieval|most_frequent_personal_destination,0.030301278177876895,-0.03753981960235347,0.095195486589617,-0.037131241629624556,0.0944689762633785
interaction75_25|geometric_retrieval|most_frequent_personal_destination,0.043954524386277526,0.0073847338525623194,0.0811677966637667,0.0076335525610301885,0.08143247434621892
difference|geometric_retrieval|nearest_known_destination_to_current_point|0.25,0.2890857038414225,0.21346659978795834,0.3659288772452581,0.21428499761486874,0.367228024381434
difference|geometric_retrieval|nearest_known_destination_to_current_point|0.50,0.24676931586317136,0.17423364097579808,0.3196221733063191,0.1778747683097786,0.31963269240708253
difference|geometric_retrieval|nearest_known_destination_to_current_point|0.66,0.1907785640768996,0.11910858754451333,0.2629921325217709,0.12034311247163978,0.2629435173144028
difference|geometric_retrieval|nearest_known_destination_to_current_point|0.75,0.17558134267580758,0.1056413140301459,0.24505222998398138,0.10777768408388164,0.24491635837256165
primary_mean_difference|geometric_retrieval|nearest_known_destination_to_current_point,0.22555373161432526,0.16073389815136055,0.2904870219222574,0.1624427918099967,0.2904870219222574
interaction75_25|geometric_retrieval|nearest_known_destination_to_current_point,-0.11350436116561494,-0.18632273568191768,-0.0477626053281892,-0.18725252942319498,-0.04698968837188521
difference|geometric_retrieval|last_observed_point|0.25,0.2890857038414225,0.21346659978795834,0.3659288772452581,0.21428499761486874,0.367228024381434
difference|geometric_retrieval|last_observed_point|0.50,0.24676931586317136,0.17423364097579808,0.3196221733063191,0.1778747683097786,0.31963269240708253
difference|geometric_retrieval|last_observed_point|0.66,0.1907785640768996,0.11910858754451333,0.2629921325217709,0.12034311247163978,0.2629435173144028
difference|geometric_retrieval|last_observed_point|0.75,0.17558134267580758,0.1056413140301459,0.24505222998398138,0.10777768408388164,0.24491635837256165
primary_mean_difference|geometric_retrieval|last_observed_point,0.22555373161432526,0.16073389815136055,0.2904870219222574,0.1624427918099967,0.2904870219222574
interaction75_25|geometric_retrieval|last_observed_point,-0.11350436116561494,-0.18632273568191768,-0.0477626053281892,-0.18725252942319498,-0.04698968837188521
difference|geometric_retrieval|current_position_only_personal_retrieval|0.25,0.040657171927034386,0.0029054431273181696,0.08042108212735433,0.0033067531732599953,0.08138849630179318
difference|geometric_retrieval|current_position_only_personal_retrieval|0.50,0.06331235628595114,0.02292162204295304,0.10596012268395655,0.02292162204295304,0.10585205733627151
difference|geometric_retrieval|current_position_only_personal_retrieval|0.66,0.023957138122363605,-0.0251321111415306,0.0786466126100416,-0.024813653643533436,0.07929417797648151
difference|geometric_retrieval|current_position_only_personal_retrieval|0.75,-0.0014415868945101124,-0.0421804292454313,0.03801692117278558,-0.041687425591549955,0.03801709185190235
primary_mean_difference|geometric_retrieval|current_position_only_personal_retrieval,0.03162126986020975,0.003052920468903181,0.06122352617898023,0.0027731858974677503,0.06138571216218176
interaction75_25|geometric_retrieval|current_position_only_personal_retrieval,-0.0420987588215445,-0.0965868657791669,0.007019510040630472,-0.09624550234033839,0.006423572870837313
difference|probabilistic_grid_pattern_retrieval|tsmini|0.25,0.061499808277456075,0.0282295907613845,0.09844859500709793,0.027869796385530162,0.0979879869802741
difference|probabilistic_grid_pattern_retrieval|tsmini|0.50,0.04969038150096195,0.024644990231662535,0.07618490616675086,0.024909328634872423,0.07583509410792168
difference|probabilistic_grid_pattern_retrieval|tsmini|0.66,0.046733434005447,0.021583387309967735,0.07225658201822388,0.021777481994786005,0.07225595486146022
